Precio,Ubicacion,Detalles
UF3.372,"Lira 622, Santiago, Santa Isabel, Santiago",Estudio a 1 dormitorios 1 baño 23 - 38 m² útiles
UF3.808,"Vergara 701, Santiago, Ejército - Toesca, Santiago",1 dormitorio 1 baño 29 - 32 m² útiles
UF2.710,"Santo Domingo 3902, Santiago, Santiago",Estudio a 1 dormitorios 1 baño 22 - 40 m² útiles
UF3.372,"San Francisco 1204, Santiago, Parque O'Higgins, Santiago",1 dormitorio 1 baño 29 m² útiles
UF3.032,"Cóndor 1152, Santiago, Parque Almagro, Santiago",1 baño 21 m² útiles
UF2.791,"Maipú 1196, Santiago, Parque Los Reyes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 48 m² útiles
UF3.140,"Miraflores 476, Santiago, Centro Histórico De Santiago, Santiago",Estudio a 2 dormitorios 1 a 2 baños 26 - 52 m² útiles
UF2.444,"Tarapacá 1140, Santiago, Bulnes, Santiago",Estudio a 1 dormitorios 1 baño 24 - 38 m² útiles
UF3.154,"Sta. Elena 2000, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 28 - 56 m² útiles
UF2.965,"Sta. Elena 1670, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 29 - 50 m² útiles
UF2.531,"Root 555, Santiago, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 28 - 52 m² útiles
UF3.211,"Eleuterio Ramírez 645, Santiago, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 28 - 53 m² útiles
UF3.185,"Rosas 1438, Santiago, Centro Histórico De Santiago, Santiago",1 a 2 dormitorios 1 a 2 baños 28 - 53 m² útiles
UF2.327,"Carmen 339, Santiago, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 19 - 47 m² útiles
UF2.967,"San Francisco 1204, Santiago, Parque O'Higgins, Santiago",1 dormitorio 1 baño 29 m² útiles
UF3.342,"Sta. Elvira 97, Santiago, Bogotá - Sierra Bella, Santiago",1 dormitorio 1 baño 34 m² útiles
UF3.299,"Vergara 701, Santiago, Ejército - Toesca, Santiago",1 dormitorio 1 baño 29 - 32 m² útiles
UF3.070,"Lira 622, Santiago, Santa Isabel, Santiago",1 dormitorio 1 baño 28 - 38 m² útiles
UF2.897,"General Jofré 56, Santiago, Chile, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 58 m² útiles
UF2.540,"Arturo Prat 1464, Parque O'Higgins, Santiago",1 a 2 dormitorios 1 a 2 baños 30 - 50 m² útiles
UF1.920,"Capitán Wood 1850, Santiago Centro, Santiago, Chile, Parque O'Higgins, Santiago",Estudio a 2 dormitorios 1 a 2 baños 25 - 62 m² útiles
UF1.890,"Carmen 339, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 19 - 47 m² útiles
