Precio,Ubicacion,Detalles,precio_peso,m2_totales,dormitorios,banos,comuna,precio_m2
UF3.372,"Lira 622, Santiago, Santa Isabel, Santiago",Estudio a 1 dormitorios 1 baño 23 - 38 m² útiles,128136000,30.5,1.0,1.0,Santiago,4201180.327868853
UF3.808,"Vergara 701, Santiago, Ejército - Toesca, Santiago",1 dormitorio 1 baño 29 - 32 m² útiles,144704000,30.5,1.0,1.0,Santiago,4744393.442622951
UF2.710,"Santo Domingo 3902, Santiago, Santiago",Estudio a 1 dormitorios 1 baño 22 - 40 m² útiles,102980000,31.0,1.0,1.0,Santiago,3321935.4838709678
UF3.372,"San Francisco 1204, Santiago, Parque O'Higgins, Santiago",1 dormitorio 1 baño 29 m² útiles,128136000,29.0,1.0,1.0,Santiago,4418482.75862069
UF3.032,"Cóndor 1152, Santiago, Parque Almagro, Santiago",1 baño 21 m² útiles,115216000,21.0,,1.0,Santiago,5486476.19047619
UF2.791,"Maipú 1196, Santiago, Parque Los Reyes, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 48 m² útiles,106058000,35.0,2.0,2.0,Santiago,3030228.5714285714
UF3.140,"Miraflores 476, Santiago, Centro Histórico De Santiago, Santiago",Estudio a 2 dormitorios 1 a 2 baños 26 - 52 m² útiles,119320000,39.0,2.0,2.0,Santiago,3059487.1794871795
UF2.444,"Tarapacá 1140, Santiago, Bulnes, Santiago",Estudio a 1 dormitorios 1 baño 24 - 38 m² útiles,92872000,31.0,1.0,1.0,Santiago,2995870.9677419355
UF3.154,"Sta. Elena 2000, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 28 - 56 m² útiles,119852000,42.0,2.0,2.0,Santiago,2853619.0476190476
UF2.965,"Sta. Elena 1670, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 29 - 50 m² útiles,112670000,39.5,2.0,2.0,Santiago,2852405.0632911394
UF2.531,"Root 555, Santiago, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 28 - 52 m² útiles,96178000,40.0,2.0,2.0,Santiago,2404450.0
UF3.211,"Eleuterio Ramírez 645, Santiago, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 28 - 53 m² útiles,122018000,40.5,2.0,2.0,Santiago,3012790.12345679
UF3.185,"Rosas 1438, Santiago, Centro Histórico De Santiago, Santiago",1 a 2 dormitorios 1 a 2 baños 28 - 53 m² útiles,121030000,40.5,2.0,2.0,Santiago,2988395.061728395
UF2.327,"Carmen 339, Santiago, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 19 - 47 m² útiles,88426000,33.0,2.0,2.0,Santiago,2679575.757575758
UF2.967,"San Francisco 1204, Santiago, Parque O'Higgins, Santiago",1 dormitorio 1 baño 29 m² útiles,112746000,29.0,1.0,1.0,Santiago,3887793.103448276
UF3.342,"Sta. Elvira 97, Santiago, Bogotá - Sierra Bella, Santiago",1 dormitorio 1 baño 34 m² útiles,126996000,34.0,1.0,1.0,Santiago,3735176.470588235
UF3.299,"Vergara 701, Santiago, Ejército - Toesca, Santiago",1 dormitorio 1 baño 29 - 32 m² útiles,125362000,30.5,1.0,1.0,Santiago,4110229.5081967213
UF3.070,"Lira 622, Santiago, Santa Isabel, Santiago",1 dormitorio 1 baño 28 - 38 m² útiles,116660000,33.0,1.0,1.0,Santiago,3535151.515151515
UF2.897,"General Jofré 56, Santiago, Chile, Santa Isabel, Santiago",Estudio a 2 dormitorios 1 a 2 baños 22 - 58 m² útiles,110086000,40.0,2.0,2.0,Santiago,2752150.0
UF2.540,"Arturo Prat 1464, Parque O'Higgins, Santiago",1 a 2 dormitorios 1 a 2 baños 30 - 50 m² útiles,96520000,40.0,2.0,2.0,Santiago,2413000.0
UF1.920,"Capitán Wood 1850, Santiago Centro, Santiago, Chile, Parque O'Higgins, Santiago",Estudio a 2 dormitorios 1 a 2 baños 25 - 62 m² útiles,72960000,43.5,2.0,2.0,Santiago,1677241.3793103448
UF1.890,"Carmen 339, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 19 - 47 m² útiles,71820000,33.0,2.0,2.0,Santiago,2176363.6363636362
UF2.850,"José Miguel Carrera 699, Ejército - Toesca, Santiago",1 a 3 dormitorios 1 a 2 baños 37 - 86 m² útiles,108300000,61.5,3.0,2.0,Santiago,1760975.6097560977
UF2.300,"Domeyko 2505, Barrio República, Santiago",Estudio a 2 dormitorios 1 a 2 baños 28 - 58 m² útiles,87400000,43.0,2.0,2.0,Santiago,2032558.1395348837
UF2.245,"San Ignacio 270, Dieciocho, Santiago",1 a 2 dormitorios 1 a 2 baños 21 - 52 m² útiles,85310000,36.5,2.0,2.0,Santiago,2337260.2739726026
UF1.977,"Av. Libertador Bernardo O´higgins 2488, Barrio República, Santiago",Estudio a 2 dormitorios 1 baño 24 - 42 m² útiles,75126000,33.0,2.0,1.0,Santiago,2276545.4545454546
UF2.392,"Domeyko 2055, Santiago, Chile, Ejército - Toesca, Santiago",1 a 2 dormitorios 1 a 2 baños 23 - 49 m² útiles,90896000,36.0,2.0,2.0,Santiago,2524888.888888889
UF2.727,"Gral. Jofré 135, Santiago, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 21 - 47 m² útiles,103626000,34.0,2.0,2.0,Santiago,3047823.529411765
UF2.345,"Root 555, Santa Isabel, Santiago",1 a 2 dormitorios 1 a 2 baños 28 - 52 m² útiles,89110000,40.0,2.0,2.0,Santiago,2227750.0
UF2.505,"Rosas 1438, Santiago, Centro Histórico De Santiago, Santiago",1 a 2 dormitorios 1 a 2 baños 29 - 55 m² útiles,95190000,42.0,2.0,2.0,Santiago,2266428.5714285714
UF3.012,"Sta. Elena 2000, Santiago, Bogotá - Sierra Bella, Santiago",1 a 2 dormitorios 1 a 2 baños 28 - 56 m² útiles,114456000,42.0,2.0,2.0,Santiago,2725142.8571428573
